"ID","Title","Created By","Created On","Estimate","Expected Result","Forecast","Goals","Mission","Preconditions","Priority","References","Section","Section Depth","Section Description","Section Hierarchy","Steps","Steps","Steps (Expected Result)","Steps (Step)","Suite","Suite ID","Template","Type","Updated By","Updated On"
"C4269","Выбор объема 0,2 напитка slurm","na.erofeeva@mail.ru","12/3/2022 12:17 PM","","","","","","Тестовые данные:

- Напиток: slurm
- Объем: 0,2 л","Medium","","Выбор разных объемов","2","","Автомат с напитками > Erofeeva > Выбор разных объемов","1. Выполнить шаг 1 юзкейса ""Юзкейс 1. Заказ напитка""
Expected Result:
Напиток выбранного объема появится в очереди","","1. Напиток выбранного объема появится в очереди","1. Выполнить шаг 1 юзкейса ""Юзкейс 1. Заказ напитка""","Master","S30","Test Case (Steps)","Other","na.erofeeva@mail.ru","12/4/2022 6:26 PM"
"C4270","Выбор объема 0,5 напитка slurm","na.erofeeva@mail.ru","12/3/2022 12:17 PM","","","","","","Тестовые данные:

- Напиток: slurm
- Объем: 0,5 л","Medium","","Выбор разных объемов","2","","Автомат с напитками > Erofeeva > Выбор разных объемов","1. Выполнить шаг 1 юзкейса ""Юзкейс 1. Заказ напитка""
Expected Result:
Напиток выбранного объема появится в очереди","","1. Напиток выбранного объема появится в очереди","1. Выполнить шаг 1 юзкейса ""Юзкейс 1. Заказ напитка""","Master","S30","Test Case (Steps)","Other","na.erofeeva@mail.ru","12/4/2022 6:26 PM"
"C4271","Выбор объема 1,0 напитка slurm","na.erofeeva@mail.ru","12/3/2022 12:17 PM","","","","","","Тестовые данные:

- Напиток: slurm
- Объем: 1,0 л","Medium","","Выбор разных объемов","2","","Автомат с напитками > Erofeeva > Выбор разных объемов","1. Выполнить шаг 1 юзкейса ""Юзкейс 1. Заказ напитка""
Expected Result:
Напиток выбранного объема появится в очереди","","1. Напиток выбранного объема появится в очереди","1. Выполнить шаг 1 юзкейса ""Юзкейс 1. Заказ напитка""","Master","S30","Test Case (Steps)","Other","na.erofeeva@mail.ru","12/4/2022 6:27 PM"
"C4272","Выбор объема на розлив напитка slurm","na.erofeeva@mail.ru","12/3/2022 12:17 PM","","","","","","Тестовые данные:

- Напиток: slurm
- Объем: произвольный","Medium","","Выбор разных объемов","2","","Автомат с напитками > Erofeeva > Выбор разных объемов","1. Выполнить шаг 1 юзкейса ""Юзкейс 1. Заказ напитка""
Expected Result:
Напиток выбранного объема появится в очереди","","1. Напиток выбранного объема появится в очереди","1. Выполнить шаг 1 юзкейса ""Юзкейс 1. Заказ напитка""","Master","S30","Test Case (Steps)","Other","na.erofeeva@mail.ru","12/4/2022 6:27 PM"
"C4273","Добавление напитков в очередь","na.erofeeva@mail.ru","12/3/2022 12:19 PM","","","","","","Тестовые данные:

- Напиток: два произвольных
- Объем: произвольные","Medium","","Очередь","2","","Автомат с напитками > Erofeeva > Очередь","1. Выполнить шаг 1-3 юзкейса ""Юзкейс 1. Заказ напитка""
Expected Result:
Нужное количество напитков выбранного объема добавятся в очередь","","1. Нужное количество напитков выбранного объема добавятся в очередь","1. Выполнить шаг 1-3 юзкейса ""Юзкейс 1. Заказ напитка""","Master","S30","Test Case (Steps)","Other","na.erofeeva@mail.ru","12/4/2022 6:53 PM"
"C4274","Очередь. Кофе -> nuka cola на розлив","na.erofeeva@mail.ru","12/3/2022 12:29 PM","","","","","","Тестовые данные последовательно:

1. - Напиток: кофе
   - Объем: 0,2 л

2. - Напиток: nuka cola
   - Объем: 5,3 л","Medium","","Очередь","2","","Автомат с напитками > Erofeeva > Очередь","1. Выполнить шаг 1-3 юзкейса ""Юзкейс 1. Заказ напитка""
Expected Result:
Нужное количество напитков выбранного объема добавятся в очередь","","1. Нужное количество напитков выбранного объема добавятся в очередь","1. Выполнить шаг 1-3 юзкейса ""Юзкейс 1. Заказ напитка""","Master","S30","Test Case (Steps)","Other","na.erofeeva@mail.ru","12/4/2022 6:53 PM"
"C4275","Очередь. Nuka cola 0.2 -> nuka cola на розлив","na.erofeeva@mail.ru","12/3/2022 12:30 PM","","","","","","Тестовые данные последовательно:

1. - Напиток: nuka cola
   - Объем: 0,2 л

2. - Напиток: nuka cola
   - Объем: 5,3 л","Medium","","Очередь","2","","Автомат с напитками > Erofeeva > Очередь","1. Выполнить шаг 1-3 юзкейса ""Юзкейс 1. Заказ напитка""
Expected Result:
Нужное количество напитков выбранного объема добавятся в очередь","","1. Нужное количество напитков выбранного объема добавятся в очередь","1. Выполнить шаг 1-3 юзкейса ""Юзкейс 1. Заказ напитка""","Master","S30","Test Case (Steps)","Other","na.erofeeva@mail.ru","12/4/2022 6:54 PM"
"C4278","Очередь. Slurm 0.2 -> nuka cola на розлив","na.erofeeva@mail.ru","12/3/2022 5:48 PM","","","","","","Тестовые данные последовательно:

1. - Напиток: slurm
   - Объем: 0,2 л

2. - Напиток: nuka cola
   - Объем: 5,3 л","Medium","","Очередь","2","","Автомат с напитками > Erofeeva > Очередь","1. Выполнить шаг 1-3 юзкейса ""Юзкейс 1. Заказ напитка""
Expected Result:
Нужное количество напитков выбранного объема добавятся в очередь","","1. Нужное количество напитков выбранного объема добавятся в очередь","1. Выполнить шаг 1-3 юзкейса ""Юзкейс 1. Заказ напитка""","Master","S30","Test Case (Steps)","Other","na.erofeeva@mail.ru","12/4/2022 6:54 PM"
"C4276","Очередь. Nuka cola 0.2 -> slurm на розлив","na.erofeeva@mail.ru","12/3/2022 12:32 PM","","","","","","Тестовые данные последовательно:

1. - Напиток: nuka cola
   - Объем: 0,2 л

2. - Напиток: slurm
   - Объем: 5,3 л","Medium","","Очередь","2","","Автомат с напитками > Erofeeva > Очередь","1. Выполнить шаг 1-3 юзкейса ""Юзкейс 1. Заказ напитка""
Expected Result:
Нужное количество напитков выбранного объема добавятся в очередь","","1. Нужное количество напитков выбранного объема добавятся в очередь","1. Выполнить шаг 1-3 юзкейса ""Юзкейс 1. Заказ напитка""","Master","S30","Test Case (Steps)","Other","na.erofeeva@mail.ru","12/4/2022 6:54 PM"
"C4280","Очередь. Slurm 0.2 -> slurm на розлив","na.erofeeva@mail.ru","12/3/2022 5:49 PM","","","","","","Тестовые данные последовательно:

1. - Напиток: slurm
   - Объем: 0,2 л

2. - Напиток: slurm
   - Объем: 5,3 л","Medium","","Очередь","2","","Автомат с напитками > Erofeeva > Очередь","1. Выполнить шаг 1-3 юзкейса ""Юзкейс 1. Заказ напитка""
Expected Result:
Нужное количество напитков выбранного объема добавятся в очередь","","1. Нужное количество напитков выбранного объема добавятся в очередь","1. Выполнить шаг 1-3 юзкейса ""Юзкейс 1. Заказ напитка""","Master","S30","Test Case (Steps)","Other","na.erofeeva@mail.ru","12/4/2022 6:54 PM"
"C4277","Очередь. Nuka cola на розлив -> Кофе","na.erofeeva@mail.ru","12/3/2022 12:32 PM","","","","","","Тестовые данные последовательно:

1. - Напиток: nuka cola
   - Объем: 5,3 л

2. - Напиток: кофе
   - Объем: 0,2 л","Medium","","Очередь","2","","Автомат с напитками > Erofeeva > Очередь","1. Выполнить шаг 1-3 юзкейса ""Юзкейс 1. Заказ напитка""
Expected Result:
Нужное количество напитков выбранного объема добавятся в очередь","","1. Нужное количество напитков выбранного объема добавятся в очередь","1. Выполнить шаг 1-3 юзкейса ""Юзкейс 1. Заказ напитка""","Master","S30","Test Case (Steps)","Other","na.erofeeva@mail.ru","12/4/2022 6:54 PM"
"C4281","Очередь. Nuka cola на розлив -> Nuka cola 0.2","na.erofeeva@mail.ru","12/3/2022 5:50 PM","","","","","","Тестовые данные последовательно:

1. - Напиток: nuka cola
   - Объем: 5,3 л

2. - Напиток: nuka cola
   - Объем: 0,2 л","Medium","","Очередь","2","","Автомат с напитками > Erofeeva > Очередь","1. Выполнить шаг 1-3 юзкейса ""Юзкейс 1. Заказ напитка""
Expected Result:
Нужное количество напитков выбранного объема добавятся в очередь","","1. Нужное количество напитков выбранного объема добавятся в очередь","1. Выполнить шаг 1-3 юзкейса ""Юзкейс 1. Заказ напитка""","Master","S30","Test Case (Steps)","Other","na.erofeeva@mail.ru","12/4/2022 6:54 PM"
"C4282","Очередь. Nuka cola на розлив -> Nuka cola 0.5","na.erofeeva@mail.ru","12/3/2022 5:50 PM","","","","","","Тестовые данные последовательно:

1. - Напиток: nuka cola
   - Объем: 5,3 л

2. - Напиток: nuka cola
   - Объем: 0,5 л","Medium","","Очередь","2","","Автомат с напитками > Erofeeva > Очередь","1. Выполнить шаг 1-3 юзкейса ""Юзкейс 1. Заказ напитка""
Expected Result:
Нужное количество напитков выбранного объема добавятся в очередь","","1. Нужное количество напитков выбранного объема добавятся в очередь","1. Выполнить шаг 1-3 юзкейса ""Юзкейс 1. Заказ напитка""","Master","S30","Test Case (Steps)","Other","na.erofeeva@mail.ru","12/4/2022 6:54 PM"
"C4283","Очередь. Nuka cola на розлив -> Nuka cola 1.0","na.erofeeva@mail.ru","12/3/2022 5:51 PM","","","","","","Тестовые данные последовательно:

1. - Напиток: nuka cola
   - Объем: 5,3 л

2. - Напиток: nuka cola
   - Объем: 1,0 л","Medium","","Очередь","2","","Автомат с напитками > Erofeeva > Очередь","1. Выполнить шаг 1-3 юзкейса ""Юзкейс 1. Заказ напитка""
Expected Result:
Нужное количество напитков выбранного объема добавятся в очередь","","1. Нужное количество напитков выбранного объема добавятся в очередь","1. Выполнить шаг 1-3 юзкейса ""Юзкейс 1. Заказ напитка""","Master","S30","Test Case (Steps)","Other","na.erofeeva@mail.ru","12/4/2022 6:54 PM"
"C4284","Очередь. Nuka cola на розлив -> Slurm 0.2","na.erofeeva@mail.ru","12/3/2022 5:51 PM","","","","","","Тестовые данные последовательно:

1. - Напиток: nuka cola
   - Объем: 5,3 л

2. - Напиток: slurm
   - Объем: 0,2 л","Medium","","Очередь","2","","Автомат с напитками > Erofeeva > Очередь","1. Выполнить шаг 1-3 юзкейса ""Юзкейс 1. Заказ напитка""
Expected Result:
Нужное количество напитков выбранного объема добавятся в очередь","","1. Нужное количество напитков выбранного объема добавятся в очередь","1. Выполнить шаг 1-3 юзкейса ""Юзкейс 1. Заказ напитка""","Master","S30","Test Case (Steps)","Other","na.erofeeva@mail.ru","12/4/2022 6:54 PM"
"C4285","Очередь. Nuka cola на розлив -> Slurm 0.5","na.erofeeva@mail.ru","12/3/2022 5:51 PM","","","","","","Тестовые данные последовательно:

1. - Напиток: nuka cola
   - Объем: 5,3 л

2. - Напиток: slurm
   - Объем: 0,5 л","Medium","","Очередь","2","","Автомат с напитками > Erofeeva > Очередь","1. Выполнить шаг 1-3 юзкейса ""Юзкейс 1. Заказ напитка""
Expected Result:
Нужное количество напитков выбранного объема добавятся в очередь","","1. Нужное количество напитков выбранного объема добавятся в очередь","1. Выполнить шаг 1-3 юзкейса ""Юзкейс 1. Заказ напитка""","Master","S30","Test Case (Steps)","Other","na.erofeeva@mail.ru","12/4/2022 6:54 PM"
"C4286","Очередь. Nuka cola на розлив -> Slurm 1.0","na.erofeeva@mail.ru","12/3/2022 5:51 PM","","","","","","Тестовые данные последовательно:

1. - Напиток: nuka cola
   - Объем: 5,3 л

2. - Напиток: slurm
   - Объем: 1,0 л","Medium","","Очередь","2","","Автомат с напитками > Erofeeva > Очередь","1. Выполнить шаг 1-3 юзкейса ""Юзкейс 1. Заказ напитка""
Expected Result:
Нужное количество напитков выбранного объема добавятся в очередь","","1. Нужное количество напитков выбранного объема добавятся в очередь","1. Выполнить шаг 1-3 юзкейса ""Юзкейс 1. Заказ напитка""","Master","S30","Test Case (Steps)","Other","na.erofeeva@mail.ru","12/4/2022 6:54 PM"
"C4287","Очередь. Slurm на розлив -> Nuka cola 0.2","na.erofeeva@mail.ru","12/3/2022 5:52 PM","","","","","","Тестовые данные последовательно:

1. - Напиток: slurm
   - Объем: 5,3 л

2. - Напиток: nuka cola 
   - Объем: 0,2 л","Medium","","Очередь","2","","Автомат с напитками > Erofeeva > Очередь","1. Выполнить шаг 1-3 юзкейса ""Юзкейс 1. Заказ напитка""
Expected Result:
Нужное количество напитков выбранного объема добавятся в очередь","","1. Нужное количество напитков выбранного объема добавятся в очередь","1. Выполнить шаг 1-3 юзкейса ""Юзкейс 1. Заказ напитка""","Master","S30","Test Case (Steps)","Other","na.erofeeva@mail.ru","12/4/2022 6:54 PM"
"C4288","Очередь. Slurm на розлив -> Nuka cola 0.5","na.erofeeva@mail.ru","12/3/2022 5:52 PM","","","","","","Тестовые данные последовательно:

1. - Напиток: slurm
   - Объем: 5,3 л

2. - Напиток: nuka cola 
   - Объем: 0,5 л","Medium","","Очередь","2","","Автомат с напитками > Erofeeva > Очередь","1. Выполнить шаг 1-3 юзкейса ""Юзкейс 1. Заказ напитка""
Expected Result:
Нужное количество напитков выбранного объема добавятся в очередь","","1. Нужное количество напитков выбранного объема добавятся в очередь","1. Выполнить шаг 1-3 юзкейса ""Юзкейс 1. Заказ напитка""","Master","S30","Test Case (Steps)","Other","na.erofeeva@mail.ru","12/4/2022 6:55 PM"
"C4289","Очередь. Slurm на розлив -> Nuka cola 1.0","na.erofeeva@mail.ru","12/3/2022 5:52 PM","","","","","","Тестовые данные последовательно:

1. - Напиток: slurm
   - Объем: 5,3 л

2. - Напиток: nuka cola 
   - Объем: 1,0 л","Medium","","Очередь","2","","Автомат с напитками > Erofeeva > Очередь","1. Выполнить шаг 1-3 юзкейса ""Юзкейс 1. Заказ напитка""
Expected Result:
Нужное количество напитков выбранного объема добавятся в очередь","","1. Нужное количество напитков выбранного объема добавятся в очередь","1. Выполнить шаг 1-3 юзкейса ""Юзкейс 1. Заказ напитка""","Master","S30","Test Case (Steps)","Other","na.erofeeva@mail.ru","12/4/2022 6:55 PM"
"C4290","Очередь. Slurm на розлив -> Slurm 0.2","na.erofeeva@mail.ru","12/3/2022 5:52 PM","","","","","","Тестовые данные последовательно:

1. - Напиток: slurm
   - Объем: 5,3 л

2. - Напиток: slurm
   - Объем: 0,2 л","Medium","","Очередь","2","","Автомат с напитками > Erofeeva > Очередь","1. Выполнить шаг 1-3 юзкейса ""Юзкейс 1. Заказ напитка""
Expected Result:
Нужное количество напитков выбранного объема добавятся в очередь","","1. Нужное количество напитков выбранного объема добавятся в очередь","1. Выполнить шаг 1-3 юзкейса ""Юзкейс 1. Заказ напитка""","Master","S30","Test Case (Steps)","Other","na.erofeeva@mail.ru","12/4/2022 6:55 PM"
"C4291","Очередь. Slurm на розлив -> Slurm 0.5","na.erofeeva@mail.ru","12/3/2022 5:52 PM","","","","","","Тестовые данные последовательно:

1. - Напиток: slurm
   - Объем: 5,3 л

2. - Напиток: slurm
   - Объем: 0,5 л","Medium","","Очередь","2","","Автомат с напитками > Erofeeva > Очередь","1. Выполнить шаг 1-3 юзкейса ""Юзкейс 1. Заказ напитка""
Expected Result:
Нужное количество напитков выбранного объема добавятся в очередь","","1. Нужное количество напитков выбранного объема добавятся в очередь","1. Выполнить шаг 1-3 юзкейса ""Юзкейс 1. Заказ напитка""","Master","S30","Test Case (Steps)","Other","na.erofeeva@mail.ru","12/4/2022 6:55 PM"
"C4292","Очередь. Slurm на розлив -> Slurm 1.0","na.erofeeva@mail.ru","12/3/2022 5:52 PM","","","","","","Тестовые данные последовательно:

1. - Напиток: slurm
   - Объем: 5,3 л

2. - Напиток: slurm
   - Объем: 1,0 л","Medium","","Очередь","2","","Автомат с напитками > Erofeeva > Очередь","1. Выполнить шаг 1-3 юзкейса ""Юзкейс 1. Заказ напитка""
Expected Result:
Нужное количество напитков выбранного объема добавятся в очередь","","1. Нужное количество напитков выбранного объема добавятся в очередь","1. Выполнить шаг 1-3 юзкейса ""Юзкейс 1. Заказ напитка""","Master","S30","Test Case (Steps)","Other","na.erofeeva@mail.ru","12/4/2022 6:55 PM"
"C4293","Максимальное количество напитков в очереди","na.erofeeva@mail.ru","12/3/2022 5:55 PM","","","","","","Тестовые данные:

- Напиток: сколько получится нажать
- Объем: произвольный","Medium","","Очередь","2","","Автомат с напитками > Erofeeva > Очередь","1. Выполнить шаг 1-3 юзкейса ""Юзкейс 1. Заказ напитка""
Expected Result:
Максимум пять напитков выбранного объема добавятся в очередь","","1. Максимум пять напитков выбранного объема добавятся в очередь","1. Выполнить шаг 1-3 юзкейса ""Юзкейс 1. Заказ напитка""","Master","S30","Test Case (Steps)","Other","na.erofeeva@mail.ru","12/4/2022 6:55 PM"
"C4424","Удаление из очереди множества позиций","na.erofeeva@mail.ru","12/4/2022 6:56 PM","","","","","","Тестовые данные:

- Напиток: произвольные
- Объем: произвольный
- Количество позиций: произвольное","Medium","","Очередь","2","","Автомат с напитками > Erofeeva > Очередь","1. Выполнить ""Юзкейс 3. Удаление из очереди"" со всеми тестовыми данными

Expected Result:
Все напитки удалятся, очередь останется пуста","","1. Все напитки удалятся, очередь останется пуста","1. Выполнить ""Юзкейс 3. Удаление из очереди"" со всеми тестовыми данными","Master","S30","Test Case (Steps)","Other","na.erofeeva@mail.ru","12/4/2022 7:00 PM"
"C4295","Соответствие фиксированных цен в меню таблице цен","na.erofeeva@mail.ru","12/3/2022 5:57 PM","","","","","","![](index.php?/attachments/get/4091)
","Medium","","Соответствие цен напитков на розлив формулам","2","","Автомат с напитками > Erofeeva > Соответствие цен напитков на розлив формулам","1. Проверить соответствие цен в меню с приведённой таблицей
Expected Result:
Цены в меню соответствуют ценам в приведенной таблице","","1. Цены в меню соответствуют ценам в приведенной таблице","1. Проверить соответствие цен в меню с приведённой таблицей","Master","S30","Test Case (Steps)","Other","na.erofeeva@mail.ru","12/5/2022 4:40 PM"
