"ID","Title","Assigned To","Case ID","Comment","Defects","Elapsed","Estimate","Forecast","In Progress","Plan","Plan ID","Preconditions","Priority","References","Run","Run Configuration","Run ID","Section","Section Depth","Section Description","Section Hierarchy","Status","Steps","Steps","Steps","Steps (Actual Result)","Steps (Expected Result)","Steps (Expected Result)","Steps (Status)","Steps (Step)","Steps (Step)","Template","Tested By","Tested On","Type","Version"
"T58539","Копирование файла большого размера","na.erofeeva@mail.ru","C3198","Программа скопировала файл и подвисла, но чуть позже смогла справиться с таким объемом","","","","","","","","- Папка, в которой лежат тестовые данные находится по адресу: C:\Users\a-ero\Desktop\from
- Папка, в которую нужно скопировать тестовые данные находится по адресу: C:\Users\a-ero\Desktop\into

Убедиться в том, что папка, в которую нужно скопировать тестовые данные, не содержит файлов, которые мы будем использовать в тест-кейсе

Тестовые данные

Файл: 

- ""большой файл.mkv"" размером 8,52 Гб","Critical","","ErofeevaHardload","","R416","Позитивные","2","","Erofeeva > Функциональные тесты > Позитивные","Passed","Выполнить ""Юзкейс 1. Копирование""","","","","","","","","","Test Case (Text)","na.erofeeva@mail.ru","11/23/2022 5:36 PM","Functional",""
"T58538","Копирование файла с длинным названием","na.erofeeva@mail.ru","C3197","","","","","","","","","- Папка, в которой лежат тестовые данные находится по адресу: C:\Users\a-ero\Desktop\from
- Папка, в которую нужно скопировать тестовые данные находится по адресу: C:\Users\a-ero\Desktop\into

Убедиться в том, что папка, в которую нужно скопировать тестовые данные, не содержит файлов, которые мы будем использовать в тест-кейсе

Тестовые данные

Файл:

- ""длинноеназваниедлинноеназваниедлинноеназваниедлинноеназваниедлинноеназваниедлинноеназваниедлинноеназваниедлинноеназваниедлинноеназваниедлинноеназваниедлинноеназваниедлинноеназваниедлинноеназваниедлинноеназваниедлинн.txt""","Critical","","ErofeevaHardload","","R416","Позитивные","2","","Erofeeva > Функциональные тесты > Позитивные","Passed","Выполнить ""Юзкейс 1. Копирование""","","","","","","","","","Test Case (Text)","na.erofeeva@mail.ru","11/23/2022 5:40 PM","Functional",""
"T58538","Копирование файла с длинным названием","na.erofeeva@mail.ru","C3197","","","","","","","","","- Папка, в которой лежат тестовые данные находится по адресу: C:\Users\a-ero\Desktop\from
- Папка, в которую нужно скопировать тестовые данные находится по адресу: C:\Users\a-ero\Desktop\into

Убедиться в том, что папка, в которую нужно скопировать тестовые данные, не содержит файлов, которые мы будем использовать в тест-кейсе

Тестовые данные

Файл:

- ""длинноеназваниедлинноеназваниедлинноеназваниедлинноеназваниедлинноеназваниедлинноеназваниедлинноеназваниедлинноеназваниедлинноеназваниедлинноеназваниедлинноеназваниедлинноеназваниедлинноеназваниедлинноеназваниедлинн.txt""","Critical","","ErofeevaHardload","","R416","Позитивные","2","","Erofeeva > Функциональные тесты > Позитивные","Passed","Выполнить ""Юзкейс 1. Копирование""","","","","","","","","","Test Case (Text)","na.erofeeva@mail.ru","11/23/2022 5:39 PM","Functional",""
"T58548","Добавление файлов в два этапа","na.erofeeva@mail.ru","C3255","","","","","","","","","- Папка, в которой лежат тестовые данные находится по адресу: C:\Users\a-ero\Desktop\from
- Папка, в которую нужно скопировать тестовые данные находится по адресу: C:\Users\a-ero\Desktop\into

Тестовые данные 

Файлы:

- ""docx.docx""
- ""pdf.pdf""","High","","ErofeevaHardload","","R416","Позитивные","2","","Erofeeva > Функциональные тесты > Позитивные","Passed","","1. Выполнить шаги 1-2 юзкейса ""Юзкейс 1. Копирование"" с файлом ""docx.docx""
Expected Result:
Файл добавится в программу
2. Выполнить шаги 1-2 юзкейса ""Юзкейс 1. Копирование"" с файлом ""pdf.pdf""
Expected Result:
Файл добавится в программу
3. Выполнить оставшиеся шаги юзкейса ""Юзкейс 1. Копирование"" с обоими файлами
Expected Result:
Файлы скопируются неповреждёнными","","","","1. Файл добавится в программу
2. Файл добавится в программу
3. Файлы скопируются неповреждёнными","","","1. Выполнить шаги 1-2 юзкейса ""Юзкейс 1. Копирование"" с файлом ""docx.docx""
2. Выполнить шаги 1-2 юзкейса ""Юзкейс 1. Копирование"" с файлом ""pdf.pdf""
3. Выполнить оставшиеся шаги юзкейса ""Юзкейс 1. Копирование"" с обоими файлами","Test Case (Steps)","na.erofeeva@mail.ru","11/28/2022 5:01 PM","Functional",""
"T58548","Добавление файлов в два этапа","na.erofeeva@mail.ru","C3255","Я поняла, что это проверяется другим тестом.","","","","","","","","- Папка, в которой лежат тестовые данные находится по адресу: C:\Users\a-ero\Desktop\from
- Папка, в которую нужно скопировать тестовые данные находится по адресу: C:\Users\a-ero\Desktop\into

Тестовые данные 

Файлы:

- ""docx.docx""
- ""pdf.pdf""","High","","ErofeevaHardload","","R416","Позитивные","2","","Erofeeva > Функциональные тесты > Позитивные","","","1. Выполнить шаги 1-2 юзкейса ""Юзкейс 1. Копирование"" с файлом ""docx.docx""
Expected Result:
Файл добавится в программу
2. Выполнить шаги 1-2 юзкейса ""Юзкейс 1. Копирование"" с файлом ""pdf.pdf""
Expected Result:
Файл добавится в программу
3. Выполнить оставшиеся шаги юзкейса ""Юзкейс 1. Копирование"" с обоими файлами
Expected Result:
Файлы скопируются неповреждёнными","","","","1. Файл добавится в программу
2. Файл добавится в программу
3. Файлы скопируются неповреждёнными","","","1. Выполнить шаги 1-2 юзкейса ""Юзкейс 1. Копирование"" с файлом ""docx.docx""
2. Выполнить шаги 1-2 юзкейса ""Юзкейс 1. Копирование"" с файлом ""pdf.pdf""
3. Выполнить оставшиеся шаги юзкейса ""Юзкейс 1. Копирование"" с обоими файлами","Test Case (Steps)","na.erofeeva@mail.ru","11/28/2022 5:01 PM","Functional",""
"T58549","Копирование файлов в два этапа","na.erofeeva@mail.ru","C3306","","","","","","","","","- Папка, в которой лежат тестовые данные находится по адресу: C:\Users\a-ero\Desktop\from
- Папка, в которую нужно скопировать тестовые данные находится по адресу: C:\Users\a-ero\Desktop\into

Убедиться в том, что папка, в которую нужно скопировать тестовые данные, не содержит файлов, которые мы будем использовать в тест-кейсе

Тестовые данные 

Файлы:

- ""xlsx.xlsx""
- ""txt.txt""
- ""презентация.pptx""","High","","ErofeevaHardload","","R416","Позитивные","2","","Erofeeva > Функциональные тесты > Позитивные","Passed","","1. Выполнить шаги 1-4 юзкейса ""Юзкейс 1. Копирование""
Expected Result:
Файлы добавятся в программу, папка выберется
2. Выполнить шаги 5-6 юзкейса ""Юзкейс 1. Копирование"" с файлами ""xlsx.xlsx"", ""txt.txt""

Expected Result:
Файлы скопируются неповреждёнными
3. Выполнить шаги 5-6 юзкейса ""Юзкейс 1. Копирование"" с файлом ""презентация.pptx""
Expected Result:
Файл скопируется неповреждённым","","","","1. Файлы добавятся в программу, папка выберется
2. Файлы скопируются неповреждёнными
3. Файл скопируется неповреждённым","","","1. Выполнить шаги 1-4 юзкейса ""Юзкейс 1. Копирование""
2. Выполнить шаги 5-6 юзкейса ""Юзкейс 1. Копирование"" с файлами ""xlsx.xlsx"", ""txt.txt""

3. Выполнить шаги 5-6 юзкейса ""Юзкейс 1. Копирование"" с файлом ""презентация.pptx""","Test Case (Steps)","na.erofeeva@mail.ru","11/23/2022 5:45 PM","Functional",""
"T58537","Удаление нескольких файлов","na.erofeeva@mail.ru","C3196","","","","","","","","","Папка, в которой лежат тестовые данные находится по адресу: C:\Users\a-ero\Desktop\from

Тестовые данные

Файлы:

- ""avi.avi""
- ""docx.docx""
- ""exe.exe""
- ""flv.flv""
- ""gif.gif""
- ""jpg.jpg""
- ""mkv.mkv""
- ""mp3.mp3""
- ""mp4.mp4""
- ""pdf.pdf""
- ""png.png""
- ""rar.rar""
- ""txt.txt""
- ""txt.txt — ярлык""
- ""xlsx.xlsx""
- ""zip.zip""
- ""битый файл.docx""
- ""презентация.pptx""
- ""файл без формата""","High","","ErofeevaHardload","","R416","Позитивные","2","","Erofeeva > Функциональные тесты > Позитивные","Failed","","1. Выполнить ""Юзкейс 2. Удаление""
Expected Result:
Файлы удалятся из списка в программе","","","","1. Файлы удалятся из списка в программе","","","1. Выполнить ""Юзкейс 2. Удаление""","Test Case (Steps)","na.erofeeva@mail.ru","11/28/2022 4:29 PM","Functional",""
"T58537","Удаление нескольких файлов","na.erofeeva@mail.ru","C3196","Файлы удаляются через один

![](index.php?/attachments/get/2861)

![](index.php?/attachments/get/2862)
","","","","","","","","Папка, в которой лежат тестовые данные находится по адресу: C:\Users\a-ero\Desktop\from

Тестовые данные

Файлы:

- ""avi.avi""
- ""docx.docx""
- ""exe.exe""
- ""flv.flv""
- ""gif.gif""
- ""jpg.jpg""
- ""mkv.mkv""
- ""mp3.mp3""
- ""mp4.mp4""
- ""pdf.pdf""
- ""png.png""
- ""rar.rar""
- ""txt.txt""
- ""txt.txt — ярлык""
- ""xlsx.xlsx""
- ""zip.zip""
- ""битый файл.docx""
- ""презентация.pptx""
- ""файл без формата""","High","","ErofeevaHardload","","R416","Позитивные","2","","Erofeeva > Функциональные тесты > Позитивные","","","1. Выполнить ""Юзкейс 2. Удаление""
Expected Result:
Файлы удалятся из списка в программе","","","","1. Файлы удалятся из списка в программе","","","1. Выполнить ""Юзкейс 2. Удаление""","Test Case (Steps)","na.erofeeva@mail.ru","11/28/2022 4:29 PM","Functional",""
"T58541","Удаление нескольких файлов выборочно из списка","na.erofeeva@mail.ru","C3216","","","","","","","","","- Папка, в которой лежат тестовые данные находится по адресу: C:\Users\a-ero\Desktop\from

Тестовые данные

Файлы (для выполнения этого тест-кейса добавлять в предложенном порядке):

- ""avi.avi""
- ""docx.docx""
- ""exe.exe""
- ""flv.flv""
- ""gif.gif""
- ""jpg.jpg""
- ""mkv.mkv""
- ""mp3.mp3""
- ""mp4.mp4""
- ""pdf.pdf""
- ""png.png""
- ""rar.rar""
- ""txt.txt""
- ""txt.txt — ярлык""
- ""xlsx.xlsx""
- ""zip.zip""
- ""битый файл.docx""
- ""презентация.pptx""
- ""файл без формата""","High","","ErofeevaHardload","","R416","Позитивные","2","","Erofeeva > Функциональные тесты > Позитивные","Passed","","1. Выполнить шаги 1-2 юзкейса ""Юзкейс 1. Копирование""
Expected Result:
Файлы добавятся в программу
2. Выполнить шаги 2-3 юзкейса ""Юзкейс 2. Удаление"" с условием: при выполнении 2 шага выделить каждый второй файл.
Expected Result:
Выбранные файлы удалятся, невыбранные файлы останутся","","","","1. Файлы добавятся в программу
2. Выбранные файлы удалятся, невыбранные файлы останутся","","","1. Выполнить шаги 1-2 юзкейса ""Юзкейс 1. Копирование""
2. Выполнить шаги 2-3 юзкейса ""Юзкейс 2. Удаление"" с условием: при выполнении 2 шага выделить каждый второй файл.","Test Case (Steps)","na.erofeeva@mail.ru","11/28/2022 4:34 PM","Functional",""
"T58541","Удаление нескольких файлов выборочно из списка","na.erofeeva@mail.ru","C3216","Из-за того, что файлы удаляются через один, если выбрать их через один, они удаляются нормально","","","","","","","","- Папка, в которой лежат тестовые данные находится по адресу: C:\Users\a-ero\Desktop\from

Тестовые данные

Файлы (для выполнения этого тест-кейса добавлять в предложенном порядке):

- ""avi.avi""
- ""docx.docx""
- ""exe.exe""
- ""flv.flv""
- ""gif.gif""
- ""jpg.jpg""
- ""mkv.mkv""
- ""mp3.mp3""
- ""mp4.mp4""
- ""pdf.pdf""
- ""png.png""
- ""rar.rar""
- ""txt.txt""
- ""txt.txt — ярлык""
- ""xlsx.xlsx""
- ""zip.zip""
- ""битый файл.docx""
- ""презентация.pptx""
- ""файл без формата""","High","","ErofeevaHardload","","R416","Позитивные","2","","Erofeeva > Функциональные тесты > Позитивные","","","1. Выполнить шаги 1-2 юзкейса ""Юзкейс 1. Копирование""
Expected Result:
Файлы добавятся в программу
2. Выполнить шаги 2-3 юзкейса ""Юзкейс 2. Удаление"" с условием: при выполнении 2 шага выделить каждый второй файл.
Expected Result:
Выбранные файлы удалятся, невыбранные файлы останутся","","","","1. Файлы добавятся в программу
2. Выбранные файлы удалятся, невыбранные файлы останутся","","","1. Выполнить шаги 1-2 юзкейса ""Юзкейс 1. Копирование""
2. Выполнить шаги 2-3 юзкейса ""Юзкейс 2. Удаление"" с условием: при выполнении 2 шага выделить каждый второй файл.","Test Case (Steps)","na.erofeeva@mail.ru","11/28/2022 4:34 PM","Functional",""
"T58536","Копирование нескольких файлов разного формата","na.erofeeva@mail.ru","C3195","","","","","","","","","- Папка, в которой лежат тестовые данные находится по адресу: C:\Users\a-ero\Desktop\from
- Папка, в которую нужно скопировать тестовые данные находится по адресу: C:\Users\a-ero\Desktop\into

Убедиться в том, что папка, в которую нужно скопировать тестовые данные, не содержит файлов, которые мы будем использовать в тест-кейсе

Тестовые данные

Файлы:

- ""avi.avi""
- ""docx.docx""
- ""exe.exe""
- ""flv.flv""
- ""gif.gif""
- ""jpg.jpg""
- ""mkv.mkv""
- ""mp3.mp3""
- ""mp4.mp4""
- ""pdf.pdf""
- ""png.png""
- ""rar.rar""
- ""txt.txt""
- ""txt.txt — ярлык""
- ""xlsx.xlsx""
- ""zip.zip""
- ""битый файл.docx""
- ""презентация.pptx""
- ""файл без формата""","Critical","","ErofeevaHardload","","R416","Позитивные","2","","Erofeeva > Функциональные тесты > Позитивные","Passed","Выполнить ""Юзкейс 1. Копирование""","","","","","","","","","Test Case (Text)","na.erofeeva@mail.ru","11/28/2022 4:39 PM","Functional",""
"T58536","Копирование нескольких файлов разного формата","na.erofeeva@mail.ru","C3195","Программа чуть-чуть подвисла, но все скинула","","","","","","","","- Папка, в которой лежат тестовые данные находится по адресу: C:\Users\a-ero\Desktop\from
- Папка, в которую нужно скопировать тестовые данные находится по адресу: C:\Users\a-ero\Desktop\into

Убедиться в том, что папка, в которую нужно скопировать тестовые данные, не содержит файлов, которые мы будем использовать в тест-кейсе

Тестовые данные

Файлы:

- ""avi.avi""
- ""docx.docx""
- ""exe.exe""
- ""flv.flv""
- ""gif.gif""
- ""jpg.jpg""
- ""mkv.mkv""
- ""mp3.mp3""
- ""mp4.mp4""
- ""pdf.pdf""
- ""png.png""
- ""rar.rar""
- ""txt.txt""
- ""txt.txt — ярлык""
- ""xlsx.xlsx""
- ""zip.zip""
- ""битый файл.docx""
- ""презентация.pptx""
- ""файл без формата""","Critical","","ErofeevaHardload","","R416","Позитивные","2","","Erofeeva > Функциональные тесты > Позитивные","","Выполнить ""Юзкейс 1. Копирование""","","","","","","","","","Test Case (Text)","na.erofeeva@mail.ru","11/28/2022 4:39 PM","Functional",""
